number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,0.47776341650211557,2026-05-08 16:53:08.173103,2026-05-08 16:53:14.208218,0 days 00:00:06.035115,0.48994197664898054,0.5648837568461551,0.1125885534601947,2.343779028738828,0.6679677329284911,12,6,0.5528107779512885,COMPLETE
1,0.4042358258315186,2026-05-08 16:53:14.208218,2026-05-08 16:53:17.488509,0 days 00:00:03.280291,0.0084656618206892,0.5906178063799437,0.0952837800651655,0.7583135674525904,0.20403141731560492,7,7,0.7788327478214763,COMPLETE
2,0.6000095963812432,2026-05-08 16:53:17.488509,2026-05-08 16:53:21.521823,0 days 00:00:04.033314,2.7075928715182656,0.6092769446414341,0.0764379815001243,4.106519548588796,0.21148718504175987,8,2,0.8045307348280302,COMPLETE
3,0.48349215359477504,2026-05-08 16:53:21.521823,2026-05-08 16:53:30.146620,0 days 00:00:08.624797,2.5879179236399107e-07,0.575408584366521,0.011067060352427594,1.4693164180046014,2.8964291440671444,10,10,0.7777105184099686,COMPLETE
4,0.5027171135004288,2026-05-08 16:53:30.146620,2026-05-08 16:53:36.515281,0 days 00:00:06.368661,8.889639881314416e-06,0.9886579217391921,0.04829236225067429,3.3411806581092747,1.6892466351209676,4,4,0.5563159169843692,COMPLETE
5,0.42812029312976324,2026-05-08 16:53:36.517283,2026-05-08 16:53:39.338631,0 days 00:00:02.821348,0.06841785375493613,0.6827040704526453,0.260550843992283,0.7638782988230908,19.91169449814357,7,5,0.6699560195767313,COMPLETE
6,0.42115335365207224,2026-05-08 16:53:39.338631,2026-05-08 16:53:44.350682,0 days 00:00:05.012051,3.175682500691778e-07,0.5519101307095673,0.07981920116579125,1.2081363810830537,0.45428463509655187,6,6,0.5568548635439762,COMPLETE
7,0.46689440432064117,2026-05-08 16:53:44.350682,2026-05-08 16:53:51.374199,0 days 00:00:07.023517,2.4370454173549744e-08,0.7027700804681786,0.045275944979526944,1.5208557532017841,13.619235767948036,12,1,0.70367044199509,COMPLETE
8,0.5280938650745449,2026-05-08 16:53:51.374199,2026-05-08 16:53:58.815663,0 days 00:00:07.441464,5.110929966859833e-05,0.5281151122081575,0.018316078151158155,0.34723134737175976,2.0197692692891724,3,15,0.9845647742516075,COMPLETE
9,0.538246712662077,2026-05-08 16:53:58.815663,2026-05-08 16:54:00.359854,0 days 00:00:01.544191,0.03805791043711406,0.8703073307087961,0.2860725386115394,3.548214525307924,0.224585351283314,12,3,0.9982444874374803,COMPLETE
